"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4665,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.6035,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6618,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6599,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.5934,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.5427,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.4305,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.3357,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.3026,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.4088,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.548,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.5944,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.5254,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.4154,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3518,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.3589,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.4161,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.407,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.3287,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.3132,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3486,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.3847,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.4586,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.5194,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.5179,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.5431,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.6443,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.7561,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.8331,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.8616,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.8937,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9556,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.0282,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.1139,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.1384,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.1325,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.1364,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.1569,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.1677,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.1548,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.1493,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.1649,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.183,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.1272,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.0455,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.9424,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.8288,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.7499,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.7251,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.7972,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.8818,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.8995,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.8712,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.7794,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.6501,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.492,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.4625,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.5284,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.6686,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.7745,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.7064,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.2105,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.14299,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.00422,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.65148,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.86388,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.14763,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.40199,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.61224,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.68344,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.68794,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.80402,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.95028,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.23844,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.66391,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.0034,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-05",100.2615,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-06",100.4244,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-07",100.3251,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-08",100.0732,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-09",99.89124,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-10",99.68864,
